timestamp,actual,day_ahead_pred,rolling_pred_p10,rolling_pred_p50,rolling_pred_p90,lstm_pred,naive_pred
2024-11-30 00:00:00,0.0,3.768075118326392e-31,1.464029736185973e-27,3.768075118326392e-31,9.89187053815829e-31,-1.2995789,0.0
2024-11-30 01:00:00,0.0,2.3255237230107033e-36,1.4493916815695335e-29,1.2146326556381063e-32,1.2398142278645359e-31,-1.887549,0.0
2024-11-30 02:00:00,0.0,8.17609841629928e-38,3.0907763100294924e-29,1.2815383410722554e-32,1.0579086540903246e-29,-1.6115692,0.0
2024-11-30 03:00:00,0.0,1.0443869046822076e-38,8.094725874056182e-31,2.4046711409237288e-33,3.808429783342551e-27,-0.71018744,0.0
2024-11-30 04:00:00,0.0,7.522757020292477e-38,5.924849348624719e-31,1.0962580969899973e-32,1.693112439353227e-24,1.0419611,0.0
2024-11-30 05:00:00,0.0,6.655783897740774e-35,7.546790792708518e-29,2.6621892641603635e-30,3.2196056541646344e-21,2.317415,0.0
2024-11-30 06:00:00,0.0,2.2300931043432955e-31,4.005598787329138e-27,1.0858848508887083e-27,4.977434597201471e-17,-0.09945194,0.0
2024-11-30 07:00:00,0.0,1.0705735868824293e-24,1.0164451464528296e-23,1.2113865190641064e-21,9.350371499294852e-08,-3.6845531,0.0
2024-11-30 08:00:00,10.4302,4.784429796789169e-11,1.0342885061372786e-16,1.6947677039524933e-08,21.529922485351562,7.0205946,9.311
2024-11-30 09:00:00,70.8757,28.740867614746094,4.196349254925735e-05,33.6964225769043,92.38583374023438,39.2902,59.3965
2024-11-30 10:00:00,120.7446,83.3431167602539,28.11371612548828,105.35565948486328,195.09877014160156,79.4429,105.2028
2024-11-30 11:00:00,158.4346,112.04425048828125,41.10838317871094,133.8284454345703,220.41232299804688,109.43438,126.1862
2024-11-30 12:00:00,142.9036,117.67516326904297,41.735870361328125,137.9114990234375,219.64556884765625,115.781784,125.4211
2024-11-30 13:00:00,115.455,94.87802124023438,24.241195678710938,99.64336395263672,162.52578735351562,96.92748,105.3491
2024-11-30 14:00:00,63.7962,50.909515380859375,3.253486394882202,54.772281646728516,100.44828796386719,59.46369,64.5075
