timestamp,actual,day_ahead_pred,rolling_pred_p10,rolling_pred_p50,rolling_pred_p90,lstm_pred,naive_pred
2024-06-01 00:00:00,0.0,6.264892169491679e-14,4.346069412981857e-24,6.264892169491679e-14,3.290570940728266e-11,-10.464388,0.0
2024-06-01 01:00:00,0.0,2.347775565670989e-18,1.0170946777280795e-27,1.9975276451368942e-14,8.313585063424167e-12,-9.828422,0.0
2024-06-01 02:00:00,0.0,6.115086947482498e-18,2.0801779143744526e-28,3.6606855784507286e-13,6.9009803382869e-07,-8.348975,0.0
2024-06-01 03:00:00,0.4028,1.1895352324681197e-12,1.2729352153020618e-30,1.1012714073999064e-09,18.07854461669922,-0.013580949,1.6631
2024-06-01 04:00:00,16.647,15.357528686523438,8.235624034036184e-26,8.893669128417969,83.45298767089844,25.40789,28.3631
2024-06-01 05:00:00,98.2623,97.79723358154297,8.199159125081568e-13,63.660701751708984,176.31674194335938,74.47483,130.4267
2024-06-01 06:00:00,264.7716,202.93490600585938,6.6002607345581055,170.96514892578125,335.1988525390625,142.97572,202.1289
2024-06-01 07:00:00,457.221,310.78082275390625,82.36602020263672,421.3499450683594,640.765380859375,219.65596,308.2219
2024-06-01 08:00:00,588.0902,446.03131103515625,189.09368896484375,667.762451171875,797.625244140625,298.3132,352.9351
2024-06-01 09:00:00,617.9501,572.8433837890625,240.60353088378906,722.2950439453125,816.4163818359375,370.28128,293.7762
2024-06-01 10:00:00,728.6868,636.4837646484375,244.92230224609375,722.2901611328125,829.6837158203125,430.92484,392.7045
2024-06-01 11:00:00,837.0893,697.7630615234375,267.5179138183594,729.0,819.99951171875,471.8478,733.83
2024-06-01 12:00:00,842.8077,700.024169921875,265.4991455078125,735.582763671875,824.7091064453125,479.38016,823.6904
2024-06-01 13:00:00,805.113,672.4932861328125,259.1964416503906,734.466064453125,822.8724365234375,456.1634,793.5892
2024-06-01 14:00:00,729.0795,613.1763916015625,249.62704467773438,715.2791748046875,807.1444091796875,409.63348,718.9999
2024-06-01 15:00:00,619.7484,505.41021728515625,208.52130126953125,647.1251220703125,764.454833984375,348.9781,610.5638
2024-06-01 16:00:00,486.0159,390.8658752441406,157.696044921875,522.2196044921875,660.2353515625,277.97925,476.8163
2024-06-01 17:00:00,340.1536,275.9035339355469,110.05724334716797,364.1484069824219,481.9111328125,200.60924,330.7084
2024-06-01 18:00:00,173.4806,153.81504821777344,51.57608413696289,184.44680786132812,276.2830810546875,125.483475,161.8024
2024-06-01 19:00:00,63.3429,64.12545776367188,2.2998414039611816,62.8846549987793,125.50730895996094,60.933243,58.8883
2024-06-01 20:00:00,5.3619,3.0597023963928223,1.4773138224885574e-13,2.9524216651916504,46.104515075683594,14.014871,5.6322
2024-06-01 21:00:00,0.0,3.4186300043764805e-16,2.0919956684614397e-20,2.2234540326526026e-13,0.6715800762176514,-9.303782,0.0
2024-06-01 22:00:00,0.0,9.593243309955077e-22,4.6513378362605815e-23,4.720585554057548e-16,2.1258698268411536e-07,-14.227181,0.0
2024-06-01 23:00:00,0.0,6.029094514390624e-22,8.462678279068829e-23,2.869108623642161e-14,5.883044607024601e-10,-10.472785,0.0
