timestamp,actual,day_ahead_pred,rolling_pred_p10,rolling_pred_p50,rolling_pred_p90,lstm_pred,naive_pred
2024-01-02 00:00:00,0.0,3.808098438145266e-33,3.2041123944316575e-25,3.808098438145266e-33,1.1980257563411088e-31,1.371061,0.0
2024-01-02 01:00:00,0.0,3.4742552574030123e-38,1.6520919804305256e-27,1.1761608038877653e-35,3.621534995042291e-33,0.20592554,0.0
2024-01-02 02:00:00,0.0,2.277784029089168e-39,1.3202613769533991e-27,9.18195056609551e-37,3.840062039722444e-32,-0.73266715,0.0
2024-01-02 03:00:00,0.0,2.890444329378157e-40,1.4213361484945032e-29,1.9476915003657319e-38,1.558562192919101e-30,-1.0708946,0.0
2024-01-02 04:00:00,0.0,2.375071977571847e-39,1.2693232503004032e-29,9.550662908521708e-38,6.602424405617226e-28,1.0139717,0.0
2024-01-02 05:00:00,0.0,1.698847265538743e-36,9.000348260747761e-27,3.837789956079098e-33,4.8690590284805116e-23,3.5977654,0.0
2024-01-02 06:00:00,0.0,1.8652876601962526e-33,9.627800829189568e-25,8.022003173130131e-29,4.446602027007406e-18,-0.13853185,0.0
2024-01-02 07:00:00,0.0,2.9670489611310934e-27,2.2761898077281757e-21,4.0971433603746264e-22,1.089077183991094e-08,-5.1925983,0.0
2024-01-02 08:00:00,0.8628,1.8070683905952074e-14,8.391859493276418e-15,3.5301095380191327e-09,16.13311767578125,4.1955833,0.1323
2024-01-02 09:00:00,34.597,16.19133758544922,1.0626157745718956e-05,23.194976806640625,75.74118041992188,36.00711,13.6991
2024-01-02 10:00:00,100.1643,64.79257202148438,12.137075424194336,66.09239959716797,145.30670166015625,78.322105,104.7164
2024-01-02 11:00:00,126.2147,96.32524871826172,31.491939544677734,107.29507446289062,185.63197326660156,110.273735,138.0993
2024-01-02 12:00:00,105.2098,103.95095825195312,30.535655975341797,110.26734161376953,183.70449829101562,117.01254,155.0031
2024-01-02 13:00:00,82.5504,86.95855712890625,16.470993041992188,80.20349884033203,136.29379272460938,98.71433,122.8642
2024-01-02 14:00:00,62.1599,48.00527572631836,0.02995889261364937,38.08717727661133,78.96046447753906,61.48583,63.9781
2024-01-02 15:00:00,7.4137,0.006333854980766773,2.0082828733336555e-09,0.15046831965446472,29.17943572998047,20.650253,7.0134
2024-01-02 16:00:00,0.0,3.1064286459463054e-20,6.758625175699016e-16,3.3480602484693765e-16,5.9323956520529464e-05,-2.8137403,0.0
2024-01-02 17:00:00,0.0,1.0099136523281717e-30,1.6237079795563715e-19,1.1042034175252931e-24,8.93032342004366e-16,-2.2308578,0.0
2024-01-02 18:00:00,0.0,7.060138600676627e-36,1.767377603573597e-21,4.2215617018255993e-29,9.144025268408396e-22,4.3220677,0.0
2024-01-02 19:00:00,0.0,3.267996454880885e-38,9.236327421682283e-23,2.46164245176601e-31,3.1589648987497275e-25,5.3412538,0.0
2024-01-02 20:00:00,0.0,2.370076348546529e-39,1.0463483587363841e-24,1.5494906620374635e-32,2.0855103810562234e-27,4.3842955,0.0
2024-01-02 21:00:00,0.0,3.991122234151371e-40,6.466068014738646e-25,2.4565556248591014e-33,2.8304719069495054e-30,3.7408855,0.0
2024-01-02 22:00:00,0.0,2.140629139296448e-39,1.2245045330081744e-25,1.8705259568971044e-32,1.2140502834106143e-30,3.044949,0.0
2024-01-02 23:00:00,0.0,9.370797282315446e-38,1.6220015591282105e-24,1.1052535792646083e-30,7.93585828274029e-31,2.1668062,0.0
2024-01-03 00:00:00,0.0,9.513322048662421e-30,4.5980749734592356e-24,9.513322048662421e-30,2.1961145937768447e-30,1.5681802,0.0
2024-01-03 01:00:00,0.0,4.4200625190989016e-35,1.7345978948017015e-26,1.2169701996231134e-32,3.554621448489671e-32,1.2981511,0.0
2024-01-03 02:00:00,0.0,1.6656835307210952e-36,2.473047044467993e-26,2.5291266053170385e-33,1.5000900946436623e-30,1.3393726,0.0
2024-01-03 03:00:00,0.0,1.3300514057240718e-37,3.6204257021823185e-28,1.2174426243742241e-34,2.0445867290021765e-28,2.0509489,0.0
2024-01-03 04:00:00,0.0,7.834946251550037e-37,5.519984369323546e-28,6.5132975668261744e-34,7.494732034828431e-26,3.8519082,0.0
2024-01-03 05:00:00,0.0,2.9154615480869183e-34,7.207283446917539e-26,3.01174442059207e-31,1.5856509353903259e-22,4.98921,0.0
2024-01-03 06:00:00,0.0,1.8473457960460643e-31,1.799780633235402e-24,1.1447063143606916e-28,1.808664737342616e-18,2.3082356,0.0
2024-01-03 07:00:00,0.0,2.40930865488497e-25,1.810201163938122e-21,6.346962797596938e-23,2.4309125823407385e-09,-1.7664806,0.0
2024-01-03 08:00:00,0.1477,2.9419721866985604e-12,9.573281566348929e-15,1.0032776831536694e-09,17.395469665527344,7.699248,0.8628
2024-01-03 09:00:00,5.4657,22.02594757080078,2.1234018277027644e-05,23.30988311767578,79.51925659179688,38.046318,34.597
2024-01-03 10:00:00,63.3046,70.7367172241211,11.949301719665527,64.41004180908203,146.14923095703125,76.550735,100.1643
2024-01-03 11:00:00,79.5405,100.76839447021484,23.771255493164062,90.06535339355469,168.20045471191406,106.756615,126.2147
2024-01-03 12:00:00,84.8549,108.52833557128906,22.530410766601562,91.63123321533203,165.152099609375,114.28309,105.2098
2024-01-03 13:00:00,91.754,92.35690307617188,13.786286354064941,73.75122833251953,129.9639892578125,96.976974,82.5504
2024-01-03 14:00:00,59.5943,54.51789093017578,0.2745504081249237,43.52968978881836,81.59346771240234,60.96119,62.1599
2024-01-03 15:00:00,7.0105,1.7241878509521484,7.963422810064458e-09,3.0134506225585938,28.885482788085938,21.507061,7.4137
2024-01-03 16:00:00,0.0,1.327510070478587e-17,4.404757249454284e-15,1.594678165559027e-13,8.872558828443289e-05,-1.4569887,0.0
2024-01-03 17:00:00,0.0,2.610959632963957e-28,1.325106221579962e-18,1.24301224305523e-21,2.0468557523147272e-15,-0.89569694,0.0
2024-01-03 18:00:00,0.0,1.3097332342923003e-33,5.7094324245947106e-21,6.224664128529856e-27,1.6301983019831654e-21,4.9947715,0.0
2024-01-03 19:00:00,0.0,4.3226964454242395e-36,1.0272939876063178e-22,4.945095589954465e-30,4.4692204610481725e-25,5.6761584,0.0
2024-01-03 20:00:00,0.0,2.404629734235666e-37,7.821257587236545e-25,1.6108657200193906e-31,3.526577639701256e-27,4.504047,0.0
2024-01-03 21:00:00,0.0,3.7774883978115025e-38,3.649174405129577e-25,1.2941935663164143e-32,4.814648066617726e-30,3.651544,0.0
2024-01-03 22:00:00,0.0,1.7628116078645764e-37,6.907210003035199e-26,7.756782768039412e-32,1.9965058728942215e-30,3.1042242,0.0
